item_name,product_code,retail_selling_price,units,buying_price,wholesale_selling_price,minimum_order_quantity,discount
035MF NSL POWERLAST,POW-35-MF-NSL,7393.4,5,"5,281",5809.1,1,10
045MF NSL POWERLAST,POW-45-MF-NSL,8897,5,"6,355",6990.5,1,10
N50MFL CHLORIDE EXIDE MAXX,MAXX-50-N-MFL,9664.2,5,"6,903",7593.3,1,10
N50 L MF POWERLAST (SHORT BOX),POW-50-N-MF,10159.8,5,"7,257",7982.7,1,10
NS70MFL/R POWERLAST,POW-70-MF-NSL,10942.4,5,"7,816",8597.6,1,10
N70MFL/R POWERLAST,POW-70-N-MFL,13290.2,5,"9,493",10442.3,1,10
N70MFL/R CHLORIDE EXIDE MAXX,MAXX-70-N-MFL,14334.6,5,"10,239",11262.9,1,10
N70ZMF L/R POWERLAST,POW-N70-ZMF-L/R,15146.6,5,"10,819",11900.9,1,10
090 MFR/L POWERLAST,POW-090-MFR/L,16007.6,5,"11,434",12577.4,1,10
N100MFR POWERLAST,POW-N10.0-MFR,17880.8,5,"12,772",14049.2,1,10
N120MF R POWERLAST,POW-N120-MFR,22881.6,5,"16,344",17978.4,1,10
N150 MFR POWERLAST,POW-N150-MFR,29037.4,5,"20,741",22815.1,1,10
N180 MFR POWERLAST,POW-N180-MFR,32753,5,"23,395",25734.5,1,10
N200 MFR POWERLAST,POW-N200-MFR,37604,5,"26,860",29546,1,10
N220 MFR POWERLAST,POW-N220-MFR,44123.8,5,"31,517",34668.7,1,10
DIN55 MF POWERLAST,POW-DIN-55-MF,12208,5,"8,720",9592,1,10
DIN66 MF POWERLAST,POW-DIN-66-MF,14904.4,5,"10,646",11710.6,1,10
DIN75 MF POWERLAST,POW-DIN-75-MF,15864.8,5,"11,332",12465.2,1,10
DIN80 MF POWERLAST,POW-DIN-80-MF,17585.4,5,"12,561",13817.1,1,10
DIN88 MF POWERLAST,POW-DIN-88-MF,18649.4,5,"13,321",14653.1,1,10
DIN100 MF POWERLAST,POW-DIN-100-MF,23098.6,5,"16,499",18148.9,1,10
035MF NSL SPARK,SPAR-035-MF-NSL,7105,5,"5,075",5582.5,1,10
045MF NSL SPARK,SPAR-045-MF-NSL,7502.6,5,"5,359",5894.9,1,10
NS70MFL/R SPARK,SPAR-NS70-MFL/R,10512.6,5,"7,509",8259.9,1,10
N70 MFL/R SPARK,SPAR-N70-MFL/R,12861.8,5,"9,187",10105.7,1,10
026 MF SOLAR POWERLAST,POW-026-SOL-MF,5742.8,5,"4,102",4512.2,1,10
050 MF SOLAR POWERLAST,POW-050-SOL-MF,8688.4,5,"6,206",6826.6,1,10
075 MF SOLAR POWERLAST,POW-075-SOL-MF,11095,5,"7,925",8717.5,1,10
100 MF SOLAR POWERLAST,POW-100-SOL-MF,16611,5,"11,865",13051.5,1,10
026 MF SOLAR SPARK,SPAR-026-SOL-MF,4874.1,5,"3,481.50",3829.65,1,10
050 MF SOLAR SPARK,SPAR-050-SOL-MF,7314.23,5,"5,224.45",5746.895,1,10
075 MF SOLAR SPARK,SPAR-075-SOL-MF,10505.88,5,"7,504.20",8254.62,1,10
100 MF SOLAR SPARK,SPAR-100-SOL-MF,13613.6,5,"9,724.00",10696.4,1,10
N50 SBR CHLORIDE EXIDE,SBR-N50,9303,5,"6,645",7309.5,1,10
NS70 SBL/SBR CHLORIDE EXIDE,SBR-NS70-SBL,9795.8,5,"6,997",7696.7,1,10
N70SBR/SBL CHLORIDE EXIDE,SBR-N70-SBL,10957.8,5,"7,827",8609.7,1,10
N70SBR CHLORIDE EXIDE MAXX MATATU,SBR-N70-MAT,11786.6,5,"8,419",9260.9,1,10
N100 SBR CHLORIDE EXIDE,SBR-N100,13592.6,5,"9,709",10679.9,1,10
120/12/SBR PP LOCAL,SBR-120-PP,19661.6,5,"14,044",15448.4,1,10
N150 SBR CHLORIDE EXIDE,SBR-N150,23328.2,5,"16,663",18329.3,1,10
N200 SBR CHLORIDE EXIDE,SBR-N200,28954.8,5,"20,682",22750.2,1,10
026 SOLAR CHLORIDE EXIDE,SOL-026,5611.2,5,"4,008",4408.8,1,10
050 SOLAR CHLORIDE EXIDE,SOL-050,7975.8,5,"5,697",6266.7,1,10
075 SOLAR CHLORIDE EXIDE,SOL-075,10732.4,5,"7,666",8432.6,1,10
100 SOLAR CHLORIDE EXIDE,SOL-100,15673,5,"11,195",12314.5,1,10
20LTRS MIXED ACID -1240SG,MA-1240SG,2182.6,5,"1,559.00",1714.9,1,10
BOTTLED ACID 1 LTR,BA-1L,1559.6,5,"1,114.00",1225.4,1,0
I LITRE DE-IONIZED WATER,DE-1L-H20,1216.6,5,869,955.9,1,0
20 LITRE DE-IONIZED WATER CHLORIDE EXIDE,DE-20L-H20,1156.4,5,826,908.6,1,0
MF Battery NS60LH GS Yuasa,YMF-NS60-LH,"12,500.00",5,9375,10312.5,1,0
MF Battery NS70LH GS Yuasa,YMF-NS70-LH,"18,500.00",5,13875,15262.5,1,0
MF Battery NS70RH GS Yuasa,YMF-NS70-RH,"18,500.00",5,13875,15262.5,1,0
MF Battery N70LH GS Yuasa,YMF-N70-LH,"25,000.00",5,18750,20625,1,0
MF Battery N70RH GS Yuasa,YMF-N70-RH,"25,000.00",5,18750,20625,1,0
MF Battery N90LH GS Yuasa,YMF-N90-LH,"30,160.00",5,22620,24882,1,0
MF Battery N90RH GS Yuasa,YMF-N90-RH,"30,160.00",5,22620,24882,1,0
MF Battery N120 GS Yuasa,YMF-N120,"41,760.00",5,31320,34452,1,0
MF Battery N150 GS Yuasa,YMF-N150,"48,720.00",5,36540,40194,1,0
MF Battery N200 GS Yuasa,YMF-N200,"64,960.00",5,48720,53592,1,0
MF Battery N250 GS Yuasa,YMF-N250,"55,680.00",5,41760,45936,1,0
MF Battery DIN55 GS Yuasa,YMF-DIN-55,"20,300.00",5,15225,16747.5,1,0
MF Battery DIN66/74 GS Yuasa,YMF-DIN-66-74,"25,520.00",5,19140,21054,1,0
MF Battery DIN88/100 GS Yuasa,YMF-DIN-88-100,"31,320.00",5,23490,25839,1,0
CG Air Filter Toyota,17801-21050,1000,5,850,935,1,0
CG Air Filter,17801-28030,910.6,5,774.01,851.411,1,0
CG Air Filter,17801-28030,1000,5,850,935,1,0
CG Air Filter,17801-0C020,2500,5,2125,2337.5,1,0
CG Air Filter,17801-31120,1100,5,935,1028.5,1,0
CG Air Filter,17801-20040,900,5,765,841.5,1,0
CG Air Filter,17801-17020,2800,5,2380,2618,1,0
CG Air Filter,17801-60130,1500,5,1275,1402.5,1,0
CG Air Filter,17801-30040,1500,5,1275,1402.5,1,0
CG Air Filter,17801-22020,754,5,640.9,704.99,1,0
CG Air Filter,17801-75010,1200,5,1020,1122,1,0
CG Air Filter,17801-0L040 17801-0L050,1500,5,1275,1402.5,1,0
CG Air Filter,17801-21040,800,5,680,748,1,0
CG Air Filter,17801-28010,1000,5,850,935,1,0
CG Air Filter,17801-31110,1100,5,935,1028.5,1,0
CG Air Filter,17801-38050,1500,5,1275,1402.5,1,0
CG Air Filter,17801-21030,800,5,680,748,1,0
CG Air Filter,17801-23030,800,5,680,748,1,0
CG Air Filter,17801-31131,1300,5,1105,1215.5,1,0
CG Air Filter,17801-74020,950,5,807.5,888.25,1,0
CG Air Filter,17801-31090,986,5,838.1,921.91,1,0
CG Air Filter,17801-31131,1300,5,1105,1215.5,1,0
CG Air Filter,17801-70050,1200,5,1020,1122,1,0
CG Air Filter,17801-0R030,1300,5,1105,1215.5,1,0
CG Air Filter,17801-51020,2200,5,1870,2057,1,0
CG Air Filter,17801-B1010,1050,5,892.5,981.75,1,0
CG Air Filter,17801-30060,1500,5,1275,1402.5,1,0
CG Air Filter,17801-BZ050,1050,5,892.5,981.75,1,0
CG Cabin Filter,87139-30040,1200,5,1020,1122,1,0
CG Cabin Filter,87139-28010,900,5,765,841.5,1,0
CG Cabin Filter,87139-12010,760,5,646,710.6,1,0
CG Cabin Filter,87139-48030,850,5,722.5,794.75,1,0
CG Cabin Filter,87139-50100,1740,5,1479,1626.9,1,0
CG Oil Filter,90915-YZZE1,500,5,425,467.5,1,0
CG Oil Filter,90915-YZZE2,550,5,467.5,514.25,1,0
CG Oil Filter,90915-YZZD2,550,5,467.5,514.25,1,0
CG Oil Filter,90915-YZZD4,650,5,552.5,607.75,1,0
CG Oil Filter,90915-TD004,800,5,680,748,1,0
CG Oil Filter,90915-03003,1160,5,986,1084.6,1,0
CG Oil Filter,90915-30002,1500,5,1275,1402.5,1,0
CG Oil Filter,04152-38020,750,5,637.5,701.25,1,0
CG Oil Filter,04152-37010,700,5,595,654.5,1,0
CG Oil Filter,04152-31090,800,5,680,748,1,0
CG Oil Filter,04152-38010,800,5,680,748,1,0
CG Diesel Filter,23390-0L041,2000,5,1700,1870,1,0
FUEL FILTER,23390-0L070,2900,5,2465,2711.5,1,0
FUEL FILTER,AB39-9176-AC U2Y0-13-ZA5,2900,5,2465,2711.5,1,0
Spark Plugs Normal K16R-U11,90919-01164,350,5,297.5,327.25,1,0
Spark Plugs Normal K16TR11,90919-01192,400,5,340,374,1,0
Spark Plugs Normal K20RU-11,90919-01184,400,5,340,374,1,0
Spark Plugs Normal K20HR-U11,90919-01235,400,5,340,374,1,0
Spark Plugs T*T K20TT,Universal,470,5,399.5,439.45,1,0
Spark Plugs T*T K16TT,Universal,470,5,399.5,439.45,1,0
Spark Plugs SC20HR11,90919-01253,2000,5,1700,1870,1,0
W16EXR-U,90919-01091/01064/,300,5,255,280.5,1,0
Spark Plugs Iridium Power IXUH20I,1822A130(ILKR6K8),2500,5,2125,2337.5,1,0
Spark Plugs Iridium Tough VXEHC24G,12290-5AP-A01,3000,5,2550,2805,1,0
Spark Plugs,90919-01249/01263/01279/01263,2700,5,2295,2524.5,1,0
Spark Plugs Iridium Tough VK22,MD319586,1800,5,1530,1683,1,0
Spark Plugs Iridium Tough VKH16,90919-01243,2000,5,1700,1870,1,0
Spark Plugs Iridium Tough VKA20,90919-01221,2150,5,1827.5,2010.25,1,0
Spark Plugs Iridium Tough VCH20,90919-01253,2200,5,1870,2057,1,0
Spark Plugs Iridium Tough VFKBH20,90919-01249,3150,5,2677.5,2945.25,1,0
Spark Plugs Iridium Tough VXU22,90048-51188,1600,5,1360,1496,1,0
Spark Plugs Iridium Tough VK20,90919-01210,1600,5,1360,1496,1,0
Spark Plugs Iridium Tough VK16,90919-01217/40,1800,5,1530,1683,1,0
Spark Plugs Iridium Tough VKH20,90919-01191,1750,5,1487.5,1636.25,1,0
Spark Plugs Iridium Tough VFKH16,90919-01243,2700,5,2295,2524.5,1,0
Spark Plugs Iridium Tough VFKH20,90919-01247,2700,5,2295,2524.5,1,0
Spark Plugs Iridium Power IKH16,90919-01243,1450,5,1232.5,1355.75,1,0
Spark Plugs Iridium Power IKH20,90919-01191,1450,5,1232.5,1355.75,1,0
Spark Plugs Iridium Power IKH16,90919-01233,1508,5,1281.8,1409.98,1,0
Spark Plugs Iridium Power,90919-01217/40,1400,5,1190,1309,1,0
Spark Plugs Iridium Power IK20,90919-01210,1400,5,1190,1309,1,0
Spark Plugs Iridium Power IXU22,90048-51188,1229.6,5,1045.16,1149.676,1,0
Igniter Coils,90919-02258/90919-02252,5500,5,4675,5142.5,1,0
Igniter Coils,9091902265/02240,6000,5,5100,5610,1,0
Igniter Coils,90919-02259/90919-02249,6000,5,5100,5610,1,0
Igniter Coils,90919-T2008/T2001/02248,4900,5,4165,4581.5,1,0
