--- Information from page_1.jpg ---
| DATE: 29TH JUL 2024 | FLAMINGO CAR CARE TECH | CODE | DESCRIPTION | ML | PC / CN | PRICE / PC | PRICE / CN |
|----------------------|------------------------|-------|-------------|-----|----------|-------------|-------------|
| F020 | AIR CONDITIONER CLEANER | 500 | 12 | 300 | 3,420 |
| F011A | AIR FRESHENER-APPLE | 330 | 24 | 230 | 5,240 |
| F011R | AIR FRESHENER-ROSE | 330 | 24 | 230 | 5,240 |
| F011L | AIR FRESHENER-LEMON | 330 | 24 | 230 | 5,240 |
| F011R | AIR FRESHENER-ROSE | 330 | 24 | 230 | 5,240 |
| F011L | AIR FRESHENER-LEMON | 330 | 24 | 230 | 5,240 |
| F011R | AIR FRESHENER-ROSE | 330 | 24 | 230 | 5,240 |
| F011L | AIR FRESHENER-LEMON | 330 | 24 | 230 | 5,240 |
| F011R | AIR FRESHENER-ROSE | 330 | 24 | 230 | 5,240 |
| F011L | AIR FRESHENER-LEMON | 330 | 24 | 230 | 5,240 |
| F011R | AIR FRESHENER-ROSE | 330 | 24 | 230 | 5,240 |
| F011L | AIR FRESHENER-LEMON | 330 | 24 | 230 | 5,240 |
| F011R | AIR FRESHENER-ROSE | 330 | 24 | 230 | 5,240 |
| F011L | AIR FRESHENER-LEMON | 330 | 24 | 230 | 5,240 |
| F011R | AIR FRESHENER-ROSE | 330 | 24 | 230 | 5,240 |
| F011L | AIR FRESHENER-LEMON | 330 | 24 | 230 | 5,240 |
| F011R | AIR FRESHENER-ROSE | 330 | 24 | 230 | 5,240 |
| F011L | AIR FRESHENER-LEMON | 330 | 24 | 230 | 5,240 |
| F011R | AIR FRESHENER-ROSE | 330 | 24 | 230 | 5,240 |
| F011L | AIR FRESHENER-LEMON | 330 | 24 | 230 | 5,240 |
| F011R | AIR FRESHENER-ROSE | 330 | 24 | 230 | 5,240 |
| F011L | AIR FRESHENER-LEMON | 330 | 24 | 230 | 5,240 |
| F011R | AIR FRESHENER-ROSE | 330 | 24 | 230 | 5,240 |
| F011L | AIR FRESHENER-LEMON | 330 | 24 | 230 | 5,240 |
| F011R | AIR FRESHENER-ROSE | 330 | 24 | 230 | 5,240 |
| F011L | AIR FRESHENER-LEMON | 330 | 24 | 230 | 5,240 |
| F011R | AIR FRESHENER-ROSE | 330 | 24 | 230 | 5,240 |
