--- Information from page_1.jpg ---
Here is the information extracted from the image:

**Price List List**

**Date:** 7th July 2025

**Client Details:** Nairobi Region Region Dealers

| Sizes       | RoadCruza | Price | Pattern | Wanda | Price | Pattern | Price |
|-------------|------------|-------|---------|--------|-------|---------|-------|
| 13"          | 175/70R13  | 4,000 | RA610  | 4,200 | WR080 | 4,200  | BLAZER HP |
| 13"          | 185/70R13  | 4,200 | RA510  | 4,200  | BLAZER HP |
| 14"          | 175/65R14   | 4,800 | RA610  | 4,800  | C187    | 4,500  | BLAZER HP |
| 14"          | 175/70R14   | 4,400 | RA510  | 4,400  | BLAZER HP |
| 14"          | 185/70R14   | 4,400 | RA510  | 4,400  | BLAZER HP |
| 14"          | 195/65R15   | 5,200 | RA510  | 5,200  | C187    | 5,000  | BLAZER HP |
| 14"          | 195/70R14   | 5,200 | RA510  | 5,200  | BLAZER HP |
| 15"          | 185/65R15   | 5,200 | RA510  | 5,200  | C187    | 5,000  | BLAZER HP |
| 15"          | 195/65R15   | 5,200 | RA510  | 5,200  | C187    | 5,000  | BLAZER HP |
| 15"          | 195/70R14   | 5,200 | RA510  | 5,200  | BLAZER HP |
| 15"          | 205/60R15   | 5,800 | RA510  | 5,800  | C187    | 5,500  | ULTRAFORCE AT-X |
| 15"          | 205/65R15   | 5,800 | RA510  | 5,800  | C187    | 5,500  | ULTRAFORCE AT-X |
| 15"          | 205/70R15   | 5,800 | RA510  | 5,800  | C187    | 5,500  | ULTRAFORCE AT-X |
| 15"          | 215/60R15   | 6,500 | RA510  | 6,500  | C187    | 6,000  | ULTRAFORCE AT-X |
| 15"          | 215/70R15   | 6,500 | RA510  | 6,500  | C187    | 6,000  | ULTRAFORCE AT-X |
| 15"          | 215/50R17   | 8,000  | RA710  | 8,000  | WR9096  | 7,000  | ULTRAFORCE AT-X |
| 15"          | 215/60R17   | 8,000  | RA710  | 8,000  | WR9096  | 7,000  | ULTRAFORCE AT-X |
| 15"          | 215/70R17   | 8,000  | RA710  | 8,000  | WR9096  | 7,000  | ULTRAFORCE AT-X |
| 15"          | 215/55R17   | 8,000  | RA710  | 8,000  | WR9096  | 7,000  | ULTRAFORCE AT-X |
| 15"          | 215/65R17   | 8,000  | RA710  | 8,000  | WR9096  | 7,000  | ULTRAFORCE AT-X |
| 15"          | 215/70R17   | 8,000  | RA710  | 8,000  | WR9096  | 7,000  | ULTRAFORCE AT-X |
| 15"          | 215/55R17   | 8,000  | RA710  | 8,000  | WR9096  | 7,000  | ULTRAFORCE AT-X |
| 15"          | 215/65R17   | 8,000  | RA710  | 8,000  | WR9096  | 7,000  | ULTRAFORCE AT-X |
| 15"          | 215/70R17   | 8,000  | RA710  | 8,000  | WR9096  | 7,000  | ULTRAFORCE AT-X |
| 15"          | 215/55R17   | 8,000  | RA710  | 8,000  | WR9096  | 7,000  | ULTRAFORCE AT-X |
| 15"          | 215/65R17   | 8,000  | RA710  | 8,000  | WR9096  | 7,000  | ULTRAFORCE AT-X |
| 15"          | 215/70R17   | 8,000  | RA710  | 8,000  | WR9096  | 7,000  | ULTRAFORCE AT-X |
| 15"          | 215/55R17   | 8,000  | RA710  | 8,000  | WR9096  | 7,000  | ULTRAFORCE AT-X |
| 15"          | 215/65R17   | 8,000  | RA710  | 8,000  | WR9096  | 7,000  | ULTRAFORCE AT-X |
| 15"          | 215/70R17   | 8,000  | RA710  | 8,000  | WR9096  | 7,000  | ULTRAFORCE AT-X |
| 15"          | 215/55R17   | 8,000  | RA710  | 8,000  | WR9096  | 7,000  | ULTRAFORCE AT-X |
| 15"          | 215/65R17   | 8,000  | RA710  | 8,000  | WR9096  | 7,000  | ULTRAFORCE AT-X |
| 15"          | 215/70R17   | 8,000  | RA710  | 8,000  | WR9096  | 7,000  | ULTRAFORCE AT-X |
| 15"          | 215/55R17   | 8,000  | RA710  | 8,000  | WR9096  | 7,000  | ULTRAFORCE AT-X |
| 15"          | 215/65R17   | 8,000  | RA710  | 8,000  | WR9096  | 7,000  | ULTRAFORCE AT-X |
| 15"          | 215/70R17   | 8,000  | RA710  | 8,000  | WR9096  | 7,000  | ULTRAFORCE AT-X |
| 15"          | 215/55R17   | 8,000  | RA710  | 8,000  | WR9096  | 7,000  | ULTRAFORCE AT-X |
| 15"          | 215/65R17   | 8,000  | RA710  | 8,000  | WR9096  | 7,000  | ULTRAFORCE AT-X |
| 15"          | 215/70R17   | 8,000  | RA710  | 8,000  | WR9096  | 7,000  | ULTRAFORCE AT-X |
| 15"          | 215/55R17   | 8,000  | RA710  | 8,000  | WR9096  | 7,000  | ULTRAFORCE AT-X |
| 15"          | 215/65R17   | 8,000  | RA710  | 8,000  | WR9096  | 7,000  | ULTRAFORCE AT-X |
| 15"          | 215/70R17   | 8,000  | RA710  | 8,000  | WR9096  | 7,000  | ULTRAFORCE AT-X |
| 15"          | 215/55R17   | 8,000  | RA710  | 8,000  | WR9096  | 7,000  | ULTRAFORCE AT-X |
| 15"          | 215/65R17   | 8,000  | RA710  | 8,000  | WR9096  | 7,000  | ULTRAFORCE AT-X |
| 15"          | 215/70R17   | 8,000  | RA710  | 8,000  | WR9096  | 7,000  | ULTRAFORCE AT-X |
| 15"          | 215/55R17   | 8,000  | RA710  | 8,000  | WR9096  | 7,000  | ULTRAFORCE AT-X |
| 15"

--- Information from page_2.jpg ---
Here is the information extracted from the image:

### Price List

**Date:** 7th July 2025
**Client Details:** Nairobi Region Region Dealers

| Sizes | Pattern | Price |
|-------|---------|-------|
| 18"   | AT RA1100 | 12,500 |
| 19"   | AT RA1100 (8PR) | 12,000 |
| 20"   | AT RA1100 | 12,500 |
| 215/55R18 | AT RA1100 | 12,500 |
| 225/55R18 | AT RA1100 (8PR) | 12,000 |
| 225/55ZR18 | AT RA1100 | 12,500 |
| 225/55ZR18 | HT RA4100 | 15,500 |
| 225/55ZR18 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
| 225/55ZR19 | HT RA4100 | 16,000 |
