item_name,product_code,retail_selling_price,units,buying_price,wholesale_selling_price,minimum_order_quantity,discount
Apollo 12.4-24 8PR KRISHAK PREMIUM-EAgriculture,RTC4KDKPR1A0A,39600,10,32500,35750,1,12
Apollo 14.00-24 16PR ARG 217 TL -E,RLM7BHAG71A0A,75900,10,60500,66550,1,12
Apollo 16.9-28 12PR FX515 -E,RTC4RFFX54A0A,78100,10,59500,65450,1,12
Apollo 17.5-25 20PR Terra L3 TL -E,RLM7NLTER1A0A,154000,10,130000,143000,1,12
Falken 175/65R14 82H ZE914ER,M10591596FJ,6380,10,5000,5500,1,12
Triangle 175/70R13(TE301)82H,CBPTE30117F13HHJ,6050,10,5000,5500,1,12
Triangle 175/70R14(TE301)88H,CBPTE30120G18VHJ,6050,10,5000,5500,1,12
Falken 175R13C 8PR 97/95P R51,M11391120FJ,12650,10,9500,10450,1,12
Apollo 18.4-30 14PR POWERHAUL HD -E,RTC4TGFX23A0A,99000,10,85000,93500,1,12
Triangle 185/70R13(TE301)86T,CBPTE30118F13THJ,6050,10,4500,4950,1,12
Falken 185/70R14 88H SN832A,R10551053F1,9900,10,8000,8800,1,12
Falken 185/70R14 88T SN832i,M10491115FJ,9900,10,7500,8250,1,12
Triangle 185/70R14(TE301)88H,CBPTR92818F15HF0,8800,10,7500,8250,1,12
Chaoyang 185/70R14PR -RP28,MIX000068,7700,10,6000,6600,1,12
Triangle 185R14C-8PR(TR645)102/100S,CBCTR64518C14DHJ,8800,10,7000,7700,1,12
Chaoyang 185R14C-8PR-SC328,MIX000081,9350,10,7500,8250,1,12
Falken 195/50R15 82V ZE914ER MFS,M10591607FJ,12100,10,7500,8250,1,12
Dunlop 195/55R15 (DUNLOP),MIX000010,7700,10,6000,6600,1,12
Apollo 195/55R16 87V APOLLO,MIX000004,5500,10,4500,4950,1,12
Falken 195/55R16 87V ZE914ER MFS,M10591617FJ,13200,10,10000,11000,1,12
Falken 195/55R16 91V ZE310R XL,M10591847FJ,13750,10,10000,11000,1,12
Triangle 195/60R16(TC101)89V,CBPTC10119H16VHJ,6600,10,5500,6050,1,12
Falken 195/65R15 91V ZIEX ZE310R,M10592012FJ,13200,10,9500,10450,1,12
Triangle 195/65R15(TE307)91H,CBPTE30719G15HHJ,8250,10,6500,7150,1,12
Triangle 195/70R14(TE301)95H,CBPTE30119F14HFJ,7700,10,6500,7150,1,12
Falken 195R14C 8PR 106/104P R51,M11391314FJ,11000,10,7500,8250,1,12
Yokohama 195R14C 8PY356 XL EICC,E3125,11550,10,8500,9350,1,12
Chaoyang 195R14C-8PR H188,MIX000082,9900,10,8000,8800,1,12
Falken 195R15C 8PR 106/104R R2,M11391152FJ,13200,10,9500,10450,1,12
Falken 195R15C 8PR 106/104S LNVN01,M11291582FJ,13200,10,9500,10450,1,12
Triangle 195R15C-8PR(TR645)106/104S,CBCTR64519A15DHJ,8800,10,6800,7480,1,12
Falken 205/55R16 91V ZE310R,M10591848FJ,17600,10,13000,14300,1,12
Chaoyang 205/55R16PR SA57,MIX000083,9900,10,8000,8800,1,12
Falken 205/60R16 96V ZE310R XL,M10591850FJ,15400,10,11000,12100,1,12
Chaoyang 205/60R16PR RP28,MIX000067,9900,10,8000,8800,1,12
Falken 205/65R15 94H ZE914ER,M10591602FJ,13200,10,10000,11000,1,12
Falken 205/65R15 94V ZE310R,M10591845FJ,13200,10,10000,11000,1,12
Triangle 205/65R15(TE301)94V,CBPTE30120G15VHJ,8800,10,6500,7150,1,12
Triangle 205/65R15(TE307)94V,CBPTE30120G16VHJ,8800,10,6500,7150,1,12
Triangle 205/65R15(TR928)94H,CBPTR92820G15HH0,8800,10,7000,7700,1,12
Yokohama 205/65R16 95HES32 X  L TPE4,R2460,15950,10,12500,13750,1,12
Falken 215/35R19 85Y AZENIS FK453 XL MFS -19 INCH,MIX000020,22440,10,19400,21340,1,12
Falken 215/40R18 89Y FK453 XL MFS,M10691621FJ,7150,10,5000,5500,1,12
Falken 215/50R16 90V ZIEX ZE912 MFS - 16 INCH,MIX000018,11550,10,9500,10450,1,12
Falken 215/50R17 91W ZE914ER,M10692030FJ,19250,10,15000,16500,1,12
Yokohama 215/55R16 93HES32 X L SEGF,R2464,18700,10,14000,15400,1,12
Falken 215/55R16 97W ZE914ER XL,M10692029FJ,18700,10,14000,15400,1,12
Falken 215/55R17 94V ZE310R,M10591854FJ,15950,10,12500,13750,1,12
Yokohama 215/55R17 94VES32 X  L I7EI,R2466,16500,10,12000,13200,1,12
Triangle 215/55R17(TH202)98Y,CBPTH20221J17YFJ,14300,10,10000,11000,1,12
Yokohama 215/60R16 95HES32 X  L SEJL,R2467,19800,10,16500,18150,1,12
Yokohama 215/60R16 95HG015 XRRL W7RP,R2239,22550,10,17500,19250,1,12
Falken 215/60R16 95V ZE310R,M10591851FJ,16500,10,12000,13200,1,12
Falken 215/60R16 99H WPATTR XL,M11291736FJ,18700,10,15000,16500,1,12
